claim_id,supported_claim,forbidden_extension,artifact,artifact_sha256
C-LIVE-ROUTING,A true lazy-inference USTC route improves Macro-F1 and reduces executed evidence calls on the frozen fresh acceptance.,The result is not a cross-dataset or production-latency guarantee.,data/runs/mad_etd_cross_view_group_robust_v6_1/acceptance_report.json,b6b8e99f2d2dbc791a0a4e2ef1d1494d6e5a947596ae273175dced472bc2ea29
C-USTC-ORDINARY-ENSEMBLE,"On the same frozen 10,000-row USTC acceptance, the staged evidence policy has a positive point estimate versus equal probability averaging.","Its 20-group interval touches zero, so it is not a strict population-wide superiority result.",data/runs/mad_etd_thesis_final_experiment_closure_v20/paper_ready_ustc_ensemble_table.csv,e9175344d77a6970c893807c672e5a15a90e8223117ba775fe8dda338f053760
C-NBAIOT-VALIDATION-DIAGNOSTIC,The N-BaIoT validation-selection diagnostic compares the frozen candidate with four ordinary ensemble references.,The selection partition is not a new independent acceptance result.,data/runs/mad_etd_thesis_final_experiment_closure_v20/paper_ready_n_baiot_validation_diagnostic.csv,c8159cb601a179f925f193b6ab1d1ce322ebdc2d00f05fced479ad99bf2d4ca4
C-TLS-ROBUSTNESS,Learned TLS records provide positive perturbation-robustness signals.,They do not outperform HGB on clean capture classification and are not promoted.,data/runs/mad_etd_dohbrw_independent_robustness_w287_w290/acceptance_report.json,bb9cbd4d851bd12bf4ec76836e4c3e33dfe1a3518bab3516e80d01615119e51c
C-TLS-CLEAN-DELTAS,"The two records-only TCN protocols trail safe-aggregation HGB by 0.48 and 1.04 percentage points; robust TLS Skill v2 trails by 2.40 points.",These candidate-specific deltas must not be merged and attributed to records-only TCN alone.,data/runs/mad_etd_thesis_final_evidence_v21/learned_tls_results.csv,8084af17c9c255f7ee87070443d6104d8d596fb3f779dce2d4445966642fe9c8
C-OOD-TEMPORAL,The temporal domain-origin OOD score reaches AUROC 0.9972 in the frozen USTC-versus-CESNET diagnostic.,The combined OOD profile did not pass every preregistered acceptance gate.,data/runs/ustc_tfc2016/domain_ood_v1/validation_summary.json,fa524e5af25a7aa30ec19aa2f7295ce30f6cd113c948f16f188bea45d4bd30a4
C-USTC-HYBRID,"The frozen 40,000-sample USTC hybrid configuration improves Accuracy and pooled binary Macro-F1 under its grouped protocol.",The gain cannot be attributed to an independent Agent or Fusion factor because the classifier family and view configuration also differ.,data/runs/mad_etd_ustc_group_heldout_hybrid_w98/acceptance_report.json,a14bf19c8dfafee625b0d472b810aec8029c263b429628abfd3363a41fbca7b0
C-NFIOT-SELECTIVE,"The NF-IoT candidate improves covered-set quality at its frozen 0.9374 coverage operating point, with full-sample recall costs reported separately.",The covered-set metric is not an all-sample or cross-source universal improvement.,data/runs/mad_etd_nfiot_positive_statistical_validation_w46/acceptance_report.json,9f3eb9e11d5b81ac038af4aacd933a4a3be56550c642585477ee7b022f8c8386
C-ROUTING-REPLAY,"Capability filtering reduces request attempts, unsupported attempts, and host-local coordination latency in the frozen replay.",The replay does not show fewer model inferences or a classification gain.,data/releases/mad_etd_routing_efficiency_evidence_pack_w325/main_efficiency_table_w325.csv,2f412add24d7019fb359878d36f741e42bf2aca98be7e54cbddf702bdc2951dd
C-FUSION-RISK,Reliability- and OOD-aware fusion changes risk ranking and selective behavior in the frozen paired diagnostic.,The diagnostic is not a new full-coverage classifier benchmark.,data/runs/mad_etd_thesis_fusion_mechanism_closure_v2/acceptance_report.json,12dfe706e8b4f672a3ccb0e6013d2e1b694713757f36b769ceac01d32be7a287
C-FUSION-PERTURBATION,"On 3,200 frozen paired perturbations, reliability/OOD-aware Fusion reduces harmful binary flips while accepting a smaller subset.","This is a paired robustness diagnostic, not a full-coverage classification benchmark.",data/runs/mad_etd_thesis_final_experiment_closure_v20/paper_ready_fusion_robustness_table.csv,52cac980536aa1deba9da02ad68c35d22917299479fc79bd83fd5dfc002593fa
C-FIELD-MUTATION,The 302 frozen field-mutation pairs preserve controlled-input and downstream decision semantics with zero blocked-field violations.,The paired test does not establish robustness to every possible input attack.,data/runs/mad_etd_thesis_fieldaudit_batch_pairing_v1/acceptance_report.json,ed7905e6b318fa3cc91627c7daeb84b44a0a0a5c9ca2532de29b3b6c42b118a2
C-CONSTRAINT-CASES,Nineteen predefined structured violation cases produced zero admitted boundary breaks with complete audit records.,The finite test set is not a production security certification.,data/releases/mad_etd_anonymous_reproducibility_capsule_w269/results/threat_model_report.json,8820fa2b7181f59db3f2a5dd40c4bbb4611791a403e4b332fc24b9158f5155be
C-LAYERED-CONSTRAINT-ABLATION,"The frozen host-local metadata-path ablation records 6,000 interventions per layer and 12,002 valid handoffs with run-level latency intervals.","It does not measure detector inference, network serving, or semantic truth of admitted evidence.",data/runs/lago_frozen_trace_four_configuration_ablation/configuration_results.csv,2fdea8e2daea5a0d762b878d9e1d46b0277acc894dd8a1d575edb4db9367b810
C-DATASET-PROTOCOLS,"Dataset sizes, split roles, model dimensions, and host software are linked to frozen manifests.",The manifests do not imply that every dataset supplies supervised performance evidence.,data/models/ustc_tfc2016/v1/training_summary.json,b3a67061cb9dee1ddd3ae6a911c7cf4336276d5994ea31f7591c7ecf7b0f28bd
C-USTC-FULL-FUSION-NEGATIVE,"The independent USTC full-Fusion candidate fails its promotion gates under seeds 42, 43, and 44.",Small positive point estimates for seeds 43 and 44 are not statistically conclusive and do not establish promotion.,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_42/hybrid/training_report.json,b1313c98ab3e2db7ab84332c16d610230f2864f4978bfe55839aa8b98de66411
C-EXTERNAL-TIERED,"Five citable multi-agent systems have tiered numeric references, while only adapted official-code comparisons are identified as such.",There is no faithful reproduction or universal-superiority claim.,data/runs/mad_etd_citable_multiagent_thesis_closure_v17/paper_ready_citable_external_table.csv,ab43377a64dfa1fa885898aeea6217de858c588c20f7c49a872a9683c17bf406
C-ZTAFL-EXACT-ADAPTER,"The ZTA-FL adapter uses the same 33,000 training samples, 13,229 acceptance queries, split roles, and 26 safe input features; its grouped delta interval crosses zero.",This official-code-participating adaptation is not a faithful reproduction or a universal superiority result.,data/runs/mad_etd_external_peer_multiagent_v11_exact_train/paper_ready_ztafl_same_query_table.csv,acb918f98b12a17fac160bf116c9d12222b3e85a6801ede618ac5547f4a82074
