candidate,paper_identity,paper_identity_verified,public_executable_code_verified,official_code_verified,license_verified,compatible_local_dataset,multiagent_detection_relevant,selected_for_execution,status,evidence_url,evidence
Semantic Multi-Agent IDS,arXiv:2606.10323,True,False,False,False,CICIoT2023,True,False,blocked_no_verified_official_code,https://arxiv.org/abs/2606.10323,The paper exposes no author-code link; exact-title GitHub repository search returned no matching repository.
MA-IDS,arXiv:2604.05458,True,False,False,False,NF-BoT-IoT;NF-ToN-IoT,True,False,blocked_no_verified_official_code,https://arxiv.org/abs/2604.05458,The preprint exposes no author-code link; arXiv-id and exact-name GitHub repository searches returned no official implementation.
MARL-NIDS,10.1109/NOMS59830.2024.10575541,True,False,False,False,CICIDS2017,True,False,blocked_no_verified_official_code_or_predictions,https://doi.org/10.1109/NOMS59830.2024.10575541,Exact system-name and DOI-suffix GitHub repository searches each returned zero repositories; no predictions were located.
MAS-LSTM,10.3390/pr13030753,True,False,False,False,NF-ToN-IoT-v2,True,False,blocked_no_verified_official_code_or_predictions,https://doi.org/10.3390/pr13030753,Exact-title GitHub repository search returned zero repositories; no official predictions or checkpoint were verified.
Agentic Quantum Computing,,False,True,False,True,KDD Cup 99 only,False,False,excluded_no_citable_paper_and_incompatible_anomaly_task,https://github.com/FareedKhan-dev/agentic-quantum-computing,"MIT repository with an orchestrating LLM agent, but no DOI/arXiv identity and no compatible frozen MAD-ETD task."
FANET-MARL-IDS,,False,True,False,False,simulated FANET GPS spoofing,False,False,excluded_simulation_no_citable_identity_or_license,https://github.com/fe-cmd/FANET-MARL-IDS,"Simulation code is public, but it has no paper identity, license, or compatible real network-flow dataset."
MA-NIDS repository project,,False,True,False,False,CSE-CIC-IDS2018,True,False,excluded_no_citable_identity_or_license,https://github.com/aish6498-hub/ma-nids,"Executable multi-model repository, but no DOI/arXiv identity and no verified license; it cites rather than implements a named paper."
IoT multi-agent inference project,,False,True,False,False,IoT-DIAD 2024,False,False,excluded_no_citable_identity_and_pipeline_role_agents,https://github.com/Zunaira-Noor123/iot-network-intrusion-detection,"Public project with preprocessing, one ANN detector, and reporting roles, but no citable research identity or multi-detector evidence team."
ATGC-MACIDS,,False,True,False,False,UNSW-NB15;synthetic CICIDS2017 schema,True,False,excluded_unpublished_repository_without_license,https://github.com/Bhavyareddy16/atgc-ids,Repository claims journal readiness but exposes no DOI/arXiv identity or license; synthetic schema checks are not a paper protocol.
X-MAG-IDS,,False,True,False,True,CICIoT2023 stress test only,True,False,blocked_no_verified_paper_or_preprint_identity,https://github.com/alqithami/xmag,"Official MIT repository is executable, but no DOI, arXiv identity, or citable release was verified."
