title,year,multi_agent,llm_based,rag_memory,encrypted_traffic,dynamic_routing,field_audit,ood_aware,risk_ordered_robustness,negative_result_reporting,comparison_role,source_url
MA-IDS: Multi-Agent RAG Framework for IoT Network Intrusion Detection with an Experience Library,2026,True,True,True,False,False,False,False,False,False,qualitative_related_work,https://arxiv.org/abs/2604.05458
Multi-Agent Collaborative Intrusion Detection for Low-Altitude Economy IoT: An LLM-Enhanced Agentic AI Framework,2026,True,True,True,False,True,False,False,False,False,qualitative_related_work,https://arxiv.org/abs/2601.17817
Multi-agent Reinforcement Learning-based Network Intrusion Detection System,2024,True,False,False,False,False,False,False,False,False,qualitative_related_work,https://arxiv.org/abs/2407.05766
A Multi-Agent Adaptive Deep Learning Framework for Online Intrusion Detection,2024,True,False,False,False,False,False,False,False,False,code_available_incompatible_task,https://arxiv.org/abs/2303.02622
An LLM-Powered AI Agent Framework for Holistic IoT Traffic Interpretation,2025,False,True,True,False,False,False,False,False,False,qualitative_related_work,https://arxiv.org/abs/2510.13925
ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification,2022,False,False,False,True,False,False,False,False,False,qualitative_field_policy_incompatible,https://github.com/linwhitehat/et-bert
MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification,2025,False,False,False,True,False,False,False,False,False,qualitative_code_incomplete,https://ojs.aaai.org/index.php/AAAI/article/view/33748
TrafficLLM: Enhancing Large Language Models for Network Traffic Analysis with Robust Traffic Representation,2025,False,True,False,True,False,False,False,False,False,qualitative_field_policy_incompatible,https://github.com/ZGC-LLM-Safety/TrafficLLM
OSF-EIMTC: An Open-Source Framework for Standardized Encrypted Internet Traffic Classification,2023,False,False,False,True,False,False,False,False,False,conditional_safe_reproduction_candidate,https://github.com/ArielCyber/OSF-EIMTC
"Flow-MAE: Leveraging Masked AutoEncoder for Accurate, Efficient and Robust Malicious Traffic Classification",2023,False,False,False,True,False,False,False,False,False,qualitative_field_policy_incompatible,https://github.com/NLear/Flow-MAE
